,A_SOURCE,A_ID,A_MUNI,A_YEAR,A_CRASH_DATE,A_SEVERITY,A_CRASH_TIME,A_POLICE,A_CYCLIST,A_PEDESTRIAN,A_OTHER,A_LAT,A_LON,A_INTERSTATE,A_datetime,B_SOURCE,B_ID,B_MUNI,B_YEAR,B_CRASH_DATE,B_SEVERITY,B_CRASH_TIME,B_POLICE,B_CYCLIST,B_PEDESTRIAN,B_OTHER,B_LAT,B_LON,B_INTERSTATE,B_datetime,distance_m,time_diff_sec,confidence
51,BostonVZCrash,34751,BOSTON,2024,2024-04-20,2,22:37:39,,0,0,,42.26729787574207,-71.09372828591967,,2024-04-20 22:37:39,MassDOT,5390168,BOSTON,2024,2024-04-20,0,23:08:00,MBTA,0,0,0.0,42.26763426,-71.0938809,0,2024-04-20 23:08:00,39.386871984236194,1821.0,0.5725418961103466
52,BostonVZCrash,35702,BOSTON,2024,2024-04-20,2,22:52:06,,0,0,,42.267974754928936,-71.09307212111437,,2024-04-20 22:52:06,MassDOT,5390168,BOSTON,2024,2024-04-20,0,23:08:00,MBTA,0,0,0.0,42.26763426,-71.0938809,0,2024-04-20 23:08:00,76.43231715957766,954.0,0.3854737798829563
53,BostonVZCrash,30096,BOSTON,2024,2024-05-25,2,02:54:43,,0,0,,42.32765628099736,-71.05859532046028,,2024-05-25 02:54:43,MassDOT,5403269,BOSTON,2024,2024-05-25,2,03:20:00,State,0,0,0.0,42.32830314,-71.05921414,1,2024-05-25 03:20:00,87.94466031844709,1517.0,0.2579707111042037
54,BostonVZCrash,33201,BOSTON,2024,2024-07-19,2,16:32:47,,0,0,,42.31368555527641,-71.05704743024982,,2024-07-19 16:32:47,MassDOT,5416614,BOSTON,2024,2024-07-19,2,16:33:00,Local,0,0,0.0,42.31295954,-71.05720676,0,2024-07-19 16:33:00,81.6419634912702,13.0,0.4274229222277752
55,BostonVZFatality,147,BOSTON,2024,2024-08-18,1,03:52:03,,0,1,,42.330681792710514,-71.06853530368863,,2024-08-18 03:52:03,BostonVZCrash,23056,BOSTON,2024,2024-08-18,2,03:53:21,,0,1,,42.330681792710514,-71.06853530368863,,2024-08-18 03:53:21,0.0,78.0,0.9934999999999999
56,BostonVZFatality,26,BOSTON,2024,2024-08-23,1,23:04:45,,0,1,,42.33554256849514,-71.04156317945404,,2024-08-23 23:04:45,BostonVZCrash,31512,BOSTON,2024,2024-08-23,2,23:05:37,,0,1,,42.33554256849514,-71.04156317945404,,2024-08-23 23:05:37,0.0,52.0,0.9956666666666666
57,BostonVZFatality,60,BOSTON,2024,2024-09-03,1,00:46:32,,0,1,,42.33356601748208,-71.07346021786326,,2024-09-03 00:46:32,BostonVZCrash,34312,BOSTON,2024,2024-09-03,2,00:46:37,,0,1,,42.33356601748208,-71.07346021786326,,2024-09-03 00:46:37,0.0,5.0,0.9995833333333333
58,MassDOT,5442691,BOSTON,2024,2024-09-28,2,10:01:00,Local,0,0,0.0,42.35084789,-71.08949714,0,2024-09-28 10:01:00,BostonVZCrash,5464,BOSTON,2024,2024-09-28,2,10:39:00,,0,0,,42.350858072765824,-71.0894836662669,,2024-09-28 10:39:00,1.580888379932845,2280.0,0.79893378134047
59,BostonVZFatality,4,BOSTON,2024,2024-10-04,1,23:16:10,,0,1,,42.27689709027487,-71.13865114944244,,2024-10-04 23:16:10,BostonVZCrash,40417,BOSTON,2024,2024-10-04,2,23:16:59,,0,1,,42.27689709027487,-71.13865114944244,,2024-10-04 23:16:59,0.0,49.0,0.9959166666666666
60,BostonVZFatality,58,BOSTON,2024,2024-11-16,1,06:16:47,,0,1,,42.341840125671645,-71.05549749653231,,2024-11-16 06:16:47,BostonVZCrash,11645,BOSTON,2024,2024-11-16,2,06:17:22,,0,1,,42.341840125671645,-71.05549749653231,,2024-11-16 06:17:22,0.0,35.0,0.9970833333333333
