,source,id,muni,year,date,severity,time,police,pedestrian,cyclist,other,lat,lng,interstate,NON_MTRST_TYPE_CL,MOST_HRMFL_EVT_CL
1457,MassDOT,5004336,BOSTON,2021,2021-08-03,2,15:30:00,Local,0,0,0,42.34137497,-71.08646897,0,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
1458,MassDOT,5004319,BOSTON,2021,2021-08-27,2,13:49:00,State,0,0,0,42.32943887,-71.0605328,1,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic)
1459,MassDOT,5004295,BOSTON,2021,2021-08-31,2,18:05:00,State,0,0,0,42.29936617,-71.10280761,0,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic) / V4:(Collision with motor vehicle in traffic)
1460,MassDOT,5004269,BOSTON,2021,2021-09-06,0,16:18:00,State,0,0,0,42.34860583,-71.05748244,1,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
1461,MassDOT,5004268,BOSTON,2021,2021-09-06,0,01:46:00,State,0,0,0,42.32369421,-71.05521148,1,,V1:(Collision with median barrier)
1462,MassDOT,5004267,BOSTON,2021,2021-09-06,2,00:38:00,State,0,0,0,42.33286165,-71.06329434,1,,V1:(Collision with median barrier)
1463,MassDOT,5004266,BOSTON,2021,2021-09-02,2,12:45:00,State,0,0,0,42.35393879,-71.05314624,1,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
1464,MassDOT,5004265,BOSTON,2021,2021-09-02,0,07:45:00,State,0,0,0,42.33076595,-71.06149408,0,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
1465,MassDOT,5004264,BOSTON,2021,2021-09-02,0,07:00:00,State,0,0,0,42.34740114,-71.05733054,1,,V1:(Collision with median barrier)
1466,MassDOT,5004263,BOSTON,2021,2021-09-02,0,06:58:00,State,0,0,0,42.34738486,-71.05732217,1,,V1:(Collision with median barrier)
1467,MassDOT,5004262,BOSTON,2021,2021-09-02,0,07:10:00,State,0,0,0,42.35648974,-71.11963742,1,,V1:(Collision with guardrail)
1468,MassDOT,5004261,BOSTON,2021,2021-08-31,2,15:19:00,State,0,0,0,42.35215498,-71.05566085,1,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
1469,MassDOT,5004260,BOSTON,2021,2021-08-30,0,18:35:00,State,0,0,0,42.35099498,-71.0304075,1,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
1470,MassDOT,5004259,BOSTON,2021,2021-08-30,0,10:40:00,State,0,0,0,42.364996,-71.06977527,0,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
1471,MassDOT,5004258,BOSTON,2021,2021-08-30,0,08:17:00,State,0,0,0,,,1,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic) / V4:(Collision with motor vehicle in traffic)
